"Column","Row2","SampleID","Crop","GrainWeightWet","Protein","Moisture","Starch","WGlutDM","TestWeight","ID2","Longitude","Latitude","Notes","FieldID","Year"
5,"A","GPHY14_GB_A4_1_5-A","GB",27,NA,NA,NA,NA,NA,1,-117.087514,46.778729,"TOTAL SAMPLE GROUND |  | ","CookEast",2014
6,"A","CF14GPSWGrn_A5_2_6-A","SW",704,13.4,6,64.3,33.1,47.1,2,-117.08706455,46.77869163,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
7,"A","CF14GPSWGrn_A5_3_7-A","SW",438,11.7,6.8,68,26.3,50,3,-117.086678,46.778791,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
8,"A","CF14GPSWGrn_A6_4_8-A","SW",678,11,6.2,69.1,24.6,50.4,4,-117.08626,46.778761,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
9,"A","CF14GPWW_4_9-A","WW",1017,11.2,8.9,68.3,29.9,49.2,5,-117.085842,46.778666," |  | ","CookEast",2014
10,"A","CF14GPWW_5_10-A","WW",NA,NA,NA,NA,NA,NA,6,-117.08541875,46.77877321," |  | ","CookEast",2014
11,"A","CF14GPWW_6_11-A","WW",778,12.5,9.1,67.7,33.6,49.7,7,-117.085006,46.778632," |  | ","CookEast",2014
12,"A","CF14GPWW_7_12-A","WW",787,11.8,8.9,70.4,30.8,50.6,8,-117.084588,46.778721," |  | ","CookEast",2014
13,"A","CF14GPWW_8_13-A","WW",992,11.9,9.3,66.7,32,44.5,9,-117.08417,46.778674," |  | ","CookEast",2014
14,"A","CF14GPWW_9_14-A","WW",758,12,8.8,70,32,51.3,10,-117.083752,46.778737," |  | ","CookEast",2014
15,"A","CF14GPWW_10_15-A","WW",1077,11.7,8.9,70.4,31.3,48.8,11,-117.083334,46.778658," |  | ","CookEast",2014
16,"A","CF14GPWW_11_16-A","WW",1118,10.2,8.5,72.9,26.8,54.6,12,-117.08293984,46.77873108," |  | ","CookEast",2014
17,"A","CF14GPSWGrn_C1_13_17-A","SW",512,11.8,6.5,70.5,25.9,56,13,-117.082498,46.778764,"MOISTURE OUTSIDE LIMITS |  | ORIGINAL SAMPLE BAG RIPPED","CookEast",2014
19,"A","GPHY14_SB_C3_14_19-A","SB",690,9.9,11.3,61.9,NA,47.6,14,-117.08163216,46.77868863," |  | ","CookEast",2014
20,"A","GPHY14_SB_C3_15_20-A","SB",674,12.5,11.5,62.5,NA,51.1,15,-117.081244,46.778707," |  | ","CookEast",2014
22,"A","CF14GPWW_15_22-A","WW",1308,12.2,8.5,71.6,33,55.8,16,-117.080408,46.778826," |  | ","CookEast",2014
1,"B","GPHY14_GB_A1_18_1-B","GB",252,NA,NA,NA,NA,NA,18,-117.08888012,46.77895174," |  | ","CookEast",2014
2,"B","GPHY14_GB_A2_19_2-B","GB",291,NA,NA,NA,NA,NA,19,-117.08846626,46.77882662," |  | ","CookEast",2014
3,"B","GPHY14_GB_A2_20_3-B","GB",221,NA,NA,NA,NA,NA,20,-117.088064,46.778867," |  | ","CookEast",2014
4,"B","GPHY14_GB_A3_21_4-B","GB",487,NA,NA,NA,NA,NA,21,-117.087646,46.778842," |  | ","CookEast",2014
5,"B","GPHY14_GB_A4_22_5-B","GB",273,NA,NA,NA,NA,NA,22,-117.087228,46.779015," |  | ","CookEast",2014
6,"B","GPHY14_GB_A4_23_6-B","GB",200,NA,NA,NA,NA,NA,23,-117.08683097,46.77900278,"MOUSE DAMAGE TO ORIGINAL BAG |  | ","CookEast",2014
7,"B","CF14GPSWGrn_A5_24_7-B","SW",528,12.3,7,66.9,29.3,53.8,24,-117.086392,46.779077,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
8,"B","CF14GPSWGrn_A6_25_8-B","SW",837,10.6,6.6,74.2,24.1,58.6,25,-117.085974,46.779047,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
9,"B","CF14GPWW_25_9-B","WW",1108,9.3,9.5,67.6,24.3,43,26,-117.085556,46.778952,"Starch outside limits |  | ","CookEast",2014
10,"B","CF14GPWW_26_10-B","WW",1208,9.8,8.9,70.1,25.7,41.5,27,-117.08511704,46.77906282," |  | ","CookEast",2014
11,"B","CF14GPWW_27_11-B","WW",1443,10.8,9,72.3,29.1,53.2,28,-117.08472,46.778918," |  | ","CookEast",2014
12,"B","CF14GPWW_28_12-B","WW",909,9.7,8.3,74,24.8,50.1,29,-117.084302,46.779007,"Starch outside limits |  | ","CookEast",2014
13,"B","CF14GPWW_29_13-B","WW",1073,10.8,7.9,73.9,28.8,54.1,30,-117.083884,46.77896," |  | ","CookEast",2014
14,"B","CF14GPWW_30_14-B","WW",1031,10.3,8.1,73.4,27.4,51.4,31,-117.083466,46.779023," |  | ","CookEast",2014
15,"B","CF14GPWW_31_15-B","WW",1339,10.2,8.1,72.2,26.1,45.8,32,-117.083048,46.778944," |  | ","CookEast",2014
16,"B","CF14GPWW_32_16-B","WW",822,12.1,8.2,65.2,31.5,40,33,-117.08263,46.779013," |  | ","CookEast",2014
17,"B","CF14GPSWGrn_C1_34_17-B","SW",703,11,6.5,72.5,24.4,55.7,34,-117.082212,46.77905,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
18,"B","GPHY14_GB_C2_35_18-B","GB",341,NA,NA,NA,NA,NA,35,-117.081794,46.778852," |  | ","CookEast",2014
19,"B","GPHY14_GB_C2_36_19-B","GB",564,NA,NA,NA,NA,NA,36,-117.08140584,46.77900737," |  | ","CookEast",2014
20,"B","GPHY14_SB_C3_37_20-B","SB",377,14.5,12.2,58.5,NA,42.6,37,-117.080958,46.778993," |  | ","CookEast",2014
21,"B","CF14GPWW_37_21-B","WW",892,11.5,8.2,71.3,31.4,53.8,38,-117.08054,46.778849," |  | ","CookEast",2014
22,"B","CF14GPWW_38_22-B","WW",630,10.3,8.3,73.9,28,55.7,39,-117.080122,46.779112," |  | ","CookEast",2014
23,"B","CF14GPSWGrn_C5_40_23-B","SW",128,NA,NA,NA,NA,NA,40,-117.079704,46.779083,"SAMPLE TOO SMALL, MUST BE GROUND AND ANALYZED |  | ","CookEast",2014
24,"B","CF14GPSWGrn_C6_41_24-B","SW",827,11.6,6.9,73.5,27.2,57.7,41,-117.079286,46.779047,"MOISTURE OUTSIDE LIMITS |  | ORIGINAL SAMPLE BAG DAMAGED","CookEast",2014
2,"C","GPHY14_GB_A1_42_2-C","GB",331,NA,NA,NA,NA,NA,42,-117.08870619,46.77911338," |  | ","CookEast",2014
3,"C","GPHY14_GB_A1_43_3-C","GB",539,NA,NA,NA,NA,NA,43,-117.088318,46.779153," |  | ","CookEast",2014
4,"C","GPHY14_GB_A2_44_4-C","GB",154,NA,NA,NA,NA,NA,44,-117.0879,46.779128," |  | ","CookEast",2014
5,"C","GPHY14_GB_A3_45_5-C","GB",293,NA,NA,NA,NA,NA,45,-117.08746351,46.77928833," |  | ","CookEast",2014
6,"C","GPHY14_GB_A3_46_6-C","GB",143,NA,NA,NA,NA,NA,46,-117.087064,46.779278,"MOUSE DAMAGE |  | ","CookEast",2014
7,"C","GPHY14_GB_A4_47_7-C","GB",308,NA,NA,NA,NA,NA,47,-117.086646,46.779363," |  | ","CookEast",2014
8,"C","CF14GPSWGrn_A5_48_8-C","SW",1036,11,7,69.4,25.2,53.8,48,-117.086228,46.779333,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
9,"C","CF14GPSWGrn_A6_49_9-C","SW",999,10,7.3,75.7,24.3,60,49,-117.08581,46.779238," | STARCH OUTSIDE LIMITS | ","CookEast",2014
10,"C","CF14GPWW_49_10-C","WW",875,11.7,7.9,69.1,31.3,43.4,50,-117.08533553,46.77932123," |  | ","CookEast",2014
11,"C","CF14GPWW_50_11-C","WW",NA,NA,NA,NA,NA,NA,51,-117.08496351,46.77919681," |  | ","CookEast",2014
12,"C","CF14GPWW_51_12-C","WW",1065,11.8,8.5,68.2,31.2,48.5,52,-117.084556,46.779293," |  | ","CookEast",2014
13,"C","CF14GPWW_52_13-C","WW",1494,10.3,8.9,72.1,27.8,53,53,-117.084138,46.779246," |  | ","CookEast",2014
14,"C","CF14GPWW_53_14-C","WW",759,13.7,9.2,62.5,37,40.8,54,-117.08372,46.779309," |  | ","CookEast",2014
15,"C","CF14GPWW_54_15-C","WW",1147,10.3,8.4,74.7,27.4,53.7,55,-117.083302,46.77923," |  | ","CookEast",2014
16,"C","CF14GPWW_55_16-C","WW",1003,11.9,8.3,70.4,31.4,51.7,56,-117.08290191,46.77931128," |  | ","CookEast",2014
17,"C","CF14GPWW_56_17-C","WW",1114,10.3,8.7,74.4,27.1,53.7,57,-117.082466,46.779336," |  | ","CookEast",2014
18,"C","CF14GPSWGrn_C1_58_18-C","SW",701,11.1,7,73.4,25.6,57.5,58,-117.082048,46.779138,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
19,"C","GPHY14_GB_C2_59_19-C","GB",495,NA,NA,NA,NA,NA,59,-117.08160015,46.77925244," |  | ","CookEast",2014
20,"C","GPHY14_GB_C2_6_20-C","GB",497,NA,NA,NA,NA,NA,60,-117.081212,46.779279," |  | ","CookEast",2014
21,"C","GPHY14_SB_C3_61_21-C","SB",841,9.3,12.2,64.3,NA,51.6,61,-117.080794,46.779135," |  | ","CookEast",2014
22,"C","GPHY14_SB_C3_62_22-C","SB",1089,11.6,12.6,62.8,NA,52.7,62,-117.08039988,46.77941847," |  | ","CookEast",2014
23,"C","CF14GPWW_62_23-C","WW",1055,12.7,8.6,69.6,34.9,59.1,63,-117.079958,46.779369," |  | ","CookEast",2014
24,"C","CF14GPSWGrn_C5_64_24-C","SW",699,9.2,7.1,74.5,21.4,59.9,64,-117.07954,46.779333," | STARCH OUTSIDE LIMITS | ","CookEast",2014
25,"C","CF14GPSWGrn_C6_65_25-C","SW",1152,8.7,7.2,77.7,20.2,59.6,65,-117.079122,46.779254,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
26,"C","CF14GPSWGrn_C6_66_26-C","SW",799,12.4,6.7,67.7,26.9,56.1,66,-117.07873385,46.77928646,"MOISTURE OUTSIDE LIMITS |  | ORIGINAL SAMPLE BAG RIPPED","CookEast",2014
27,"C","CF14GPSWGrn_C7_67_27-C","SW",768,12.6,6.9,67.2,28.4,55.1,67,-117.078286,46.779271,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
3,"D","GPHY14_GB_A1_68_3-D","GB",344,NA,NA,NA,NA,NA,68,-117.088231,46.779439," |  | ","CookEast",2014
4,"D","GPHY14_GB_A2_69_4-D","GB",302,NA,NA,NA,NA,NA,69,-117.087813,46.779414," |  | ","CookEast",2014
5,"D","GPHY14_GB_A2_70_5-D","GB",230,NA,NA,NA,NA,NA,70,-117.087395,46.779587," |  | ","CookEast",2014
6,"D","GPHY14_GB_A3_71_6-D","GB",223,NA,NA,NA,NA,NA,71,-117.086977,46.779564," |  | ","CookEast",2014
7,"D","GPHY14_GB_A4_72_7-D","GB",429,NA,NA,NA,NA,NA,72,-117.086559,46.779649," |  | ","CookEast",2014
8,"D","GPHY14_GB_A4_73_8-D","GB",346,NA,NA,NA,NA,NA,73,-117.08617246,46.77963697,"MOUSE DAMAGE TO ORIGINAL BAG |  | ","CookEast",2014
9,"D","CF14GPSWGrn_A6_74_9-D","SW",1205,9.1,7.4,74.6,21.5,61.5,74,-117.08569155,46.77950963," | STARCH OUTSIDE LIMITS | ","CookEast",2014
10,"D","CF14GPSWGrn_A6_75_10-D","SW",991,8.7,8,76.3,20.8,60.1,75,-117.085305,46.779642," | STARCH OUTSIDE LIMITS | ","CookEast",2014
11,"D","CF14GPWW_75_11-D","WW",1332,10.1,9,72.6,26.4,47.1,76,-117.084887,46.77949," |  | ","CookEast",2014
12,"D","CF14GPWW_76_12-D","WW",1119,11.5,9.3,72.4,30.6,56.3,77,-117.084469,46.779579," |  | ","CookEast",2014
13,"D","CF14GPWW_77_13-D","WW",867,12,8.8,68.8,32.1,48.8,78,-117.084051,46.779532," |  | ","CookEast",2014
14,"D","CF14GPWW_78_14-D","WW",807,11.4,9.1,71.5,30.5,51.9,79,-117.083633,46.779595," |  | ","CookEast",2014
15,"D","CF14GPWW_79_15-D","WW",794,12.1,9,67,31.7,44.1,80,-117.083215,46.779516," |  | ","CookEast",2014
16,"D","CF14GPWW_80_16-D","WW",1064,9.1,8.1,72.6,22.7,34.6,81,-117.082797,46.779585,"Starch outside limits |  | ","CookEast",2014
17,"D","CF14GPWW_81_17-D","WW",990,10.1,8.2,74.6,26.6,55.6,82,-117.082379,46.779622,"Starch outside limits |  | ","CookEast",2014
18,"D","CF14GPSWGrn_C1_83_18-D","SW",617,11.7,7.3,71.3,27.7,57.3,83,-117.081961,46.779424," |  | ","CookEast",2014
19,"D","CF14GPSWGrn_C1_84_19-D","SW",757,11.6,6.5,71.7,26.5,55.8,84,-117.081543,46.779563,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
20,"D","GPHY14_GB_C2_85_20-D","GB",441,NA,NA,NA,NA,NA,85,-117.081125,46.779565," |  | ","CookEast",2014
21,"D","GPHY14_SB_C3_86_21-D","SB",1099,12.6,10.8,62.5,NA,53.1,86,-117.080707,46.779421," |  | ","CookEast",2014
22,"D","GPHY14_SB_C3_87_22-D","SB",851,11.5,11.5,62.9,NA,51.8,87,-117.080289,46.779684," |  | ","CookEast",2014
23,"D","CF14GPWW_87_23-D","WW",899,12.3,7.9,71.2,33.5,59.4,88,-117.079871,46.779655," |  | ","CookEast",2014
24,"D","CF14GPSWGrn_C5_89_24-D","SW",794,11.5,6.8,71.4,24.9,56.8,89,-117.07944702,46.77960671,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
25,"D","CF14GPSWGrn_C5_90_25-D","SW",851,8.8,6.7,75.4,20.2,60.3,90,-117.079035,46.77954,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ORIGINAL SAMPLE BAG RIPPED","CookEast",2014
26,"D","CF14GPSWGrn_C6_91_26-D","SW",757,11.4,6.7,70,24.2,57.6,91,-117.078617,46.779552,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
27,"D","CF14GPSWGrn_C7_92_27-D","SW",939,10.7,6.9,72.2,24,60.2,92,-117.078199,46.779557,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
28,"D","CF14GPSWGrn_C8_93_28-D","SW",473,13.4,6.2,64.3,32.2,44,93,-117.077781,46.779494,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
29,"D","CF14GPSWGrn_C8_94_29-D","SW",405,12.2,6.6,69.2,27.3,54.5,94,-117.077363,46.779658,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
3,"E","GPHY14_GB_A1_95_3-E","GB",224,NA,NA,NA,NA,NA,95,-117.08807304,46.77971682," |  | ","CookEast",2014
4,"E","GPHY14_GB_A1_96_4-E","GB",276,NA,NA,NA,NA,NA,96,-117.087663,46.7797," |  | ","CookEast",2014
5,"E","GPHY14_GB_A2_97_5-E","GB",160,NA,NA,NA,NA,NA,97,-117.087245,46.779873," |  | ","CookEast",2014
6,"E","GPHY14_GB_A3_98_6-E","GB",271,NA,NA,NA,NA,NA,98,-117.086827,46.77985," |  | ","CookEast",2014
7,"E","GPHY14_GB_A3_99_7-E","GB",265,NA,NA,NA,NA,NA,99,-117.086409,46.779935," |  | ","CookEast",2014
8,"E","GPHY14_GB_A4_100_8-E","GB",214,NA,NA,NA,NA,NA,100,-117.085991,46.779905," |  | ","CookEast",2014
9,"E","CF14GPSWGrn_A5_101_9-E","SW",820,10.1,6.8,73.9,23.8,56.4,101,-117.085573,46.77981,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
10,"E","GP14GPSWGrn_A6_102_10-E","SW",817,9.4,6.9,75.6,22,59,102,-117.085155,46.779928,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
11,"E","CF14GPWW_102_11-E","WW",818,11.3,8.9,67.3,30,45.6,103,-117.084737,46.779776," |  | ","CookEast",2014
12,"E","CF14GPWW_103_12-E","WW",813,10.2,8.7,66.3,26.2,40.3,104,-117.08434522,46.77988297," |  | ","CookEast",2014
13,"E","CF14GPWW_104_13-E","WW",892,12.2,9.2,67.1,33.1,42.2,105,-117.083901,46.779818," |  | ","CookEast",2014
14,"E","CF14GPWW_105_14-E","WW",585,10,9,66.3,25.2,41.4,106,-117.083483,46.779881," |  | ","CookEast",2014
15,"E","CF14GPWW_106_15-E","WW",861,10.7,8.8,69,28,45.2,107,-117.083065,46.779802," |  | ","CookEast",2014
16,"E","CF14GPWW_107_16-E","WW",870,10.3,8.6,73.5,27.5,52.8,108,-117.082647,46.779871," |  | ","CookEast",2014
17,"E","CF14GPWW_108_17-E","WW",1496,10.8,8.1,73.6,29.1,57.8,109,-117.08219348,46.77987977," |  | ","CookEast",2014
18,"E","CF14GPSWGrn_C1_110_18-E","SW",567,11.6,5.9,71.9,24.6,56.6,110,-117.08175331,46.77967045,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
19,"E","CF14GPSWGrn_C1_111_19-E","SW",664,11.1,6.2,71,26,52.3,111,-117.081393,46.779849,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
20,"E","GPHY14_GB_C2_112_20-E","GB",373,NA,NA,NA,NA,NA,112,-117.080975,46.779851," |  | ","CookEast",2014
21,"E","GPHY14_SB_C3_113_21-E","SB",606,12.5,11.5,60.9,NA,46.4,113,-117.08053909,46.77969063," |  | ","CookEast",2014
22,"E","GPHY14_SB_C3_114_22-E","SB",424,14.1,12.2,59.7,NA,44.6,114,-117.080139,46.77997," |  | ","CookEast",2014
23,"E","CF14GPWW_114_23-E","WW",656,10.6,8.5,72.1,29,57.9,115,-117.07970309,46.77992463," |  | ","CookEast",2014
24,"E","CF14GPWW_115_24-E","WW",871,12.7,8,70.1,34.6,56.9,116,-117.079303,46.779905," |  | ","CookEast",2014
25,"E","CF14GPSWGrn_C5_117_25-E","SW",753,11.5,6.8,68.4,25.9,55.5,117,-117.078885,46.779826,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
26,"E","CF14GPSWGrn_C6_118_26-E","SW",530,9,7.4,76.8,20.8,59.9,118,-117.078467,46.779838," | STARCH OUTSIDE LIMITS | ","CookEast",2014
27,"E","GP14GPSWGrn_C7_119_27-E","SW",831,12.1,6.8,69.4,26,57.6,119,-117.07801916,46.77982663,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
28,"E","CF14GPSWGrn_C7_120_28-E","SW",615,11.8,6.2,68.4,25.1,52.9,120,-117.077631,46.77978,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
29,"E","CF14GPSWGrn_C8_121_29-E","SW",207,15.2,5.7,61.9,37.3,NA,121,-117.077213,46.779944,"MOISTURE OUTSIDE LIMITS | SAMPLE TOO SMALL TO GIVE TEST WT | ","CookEast",2014
4,"F","GPHY14_GB_A1_122_4-F","GB",488,NA,NA,NA,NA,NA,122,-117.087699,46.779986," |  | ","CookEast",2014
5,"F","GPHY14_GB_A1_123_5-F","GB",355,NA,NA,NA,NA,NA,123,-117.087281,46.780159," |  | ","CookEast",2014
6,"F","GPHY14_GB_A2_124_6-F","GB",182,NA,NA,NA,NA,NA,124,-117.086863,46.780136," |  | ","CookEast",2014
7,"F","GPHY14_GB_A3_125_7-F","GB",282,NA,NA,NA,NA,NA,125,-117.086445,46.780221," |  | ","CookEast",2014
8,"F","GPHY14_GB_A4_126_8-F","GB",462,NA,NA,NA,NA,NA,126,-117.08601127,46.78018382," |  | ","CookEast",2014
9,"F","CF14GPSWGrn_A5_127_9-F","SW",699,13.3,6.4,64.9,31.6,50.7,127,-117.08559328,46.78008882,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
10,"F","CF14GPSWGrn_A5_128_10-F","SW",576,12.9,7,64.2,30.5,50.8,128,-117.085191,46.780214,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
11,"F","CF14GPSWGrn_A6_129_11-F","SW",856,9.2,6.8,74.6,21.3,58.7,129,-117.084773,46.780062,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
12,"F","CF14GPWW_129_12-F","WW",966,11.6,8.8,71.3,31.1,50.8,130,-117.084355,46.780151," |  | ","CookEast",2014
13,"F","CF14GPWW_130_13-F","WW",1225,11.9,8.8,69.5,32,44.2,131,-117.083937,46.780104," |  | ","CookEast",2014
14,"F","CF14GPWW_131_14-F","WW",1029,11,9.1,72.1,29.7,54.6,132,-117.083519,46.780167," |  | ","CookEast",2014
15,"F","CF14GPWW_132_15-F","WW",1078,11.4,8.5,67.4,29.9,43.3,133,-117.083101,46.780088," |  | ","CookEast",2014
16,"F","CF14GPWW_133_16-F","WW",675,12.4,8.9,69.4,33.2,53.2,134,-117.082683,46.780157," |  | ","CookEast",2014
17,"F","CF14GPWW_134_17-F","WW",1145,10.7,7.8,70.3,28.7,48,135,-117.082265,46.780194," |  | ","CookEast",2014
18,"F","CF14GPWW_135_18-F","WW",1241,9.3,8.7,74.8,23.8,51,136,-117.081847,46.779996," |  | ","CookEast",2014
19,"F","CF14GPWW_136_19-F","WW",1108,9.4,8.4,74.2,24.2,50.3,137,-117.08145287,46.78014727," |  | ","CookEast",2014
20,"F","CF14GPSWGrn_C1_138_20-F","SW",546,12.1,6.7,70.3,29.3,55.5,138,-117.081011,46.780137,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
21,"F","GPHY14_GB_C2_139_21-F","GB",289,NA,NA,NA,NA,NA,139,-117.080593,46.779993," |  | ","CookEast",2014
22,"F","GPHY14_GB_C2_140_22-F","GB",201,NA,NA,NA,NA,NA,140,-117.080175,46.780256," |  | ","CookEast",2014
23,"F","GPHY14_SB_C3_141_23-F","SB",490,14.4,12.7,59.1,NA,44,141,-117.079757,46.780227," |  | ","CookEast",2014
24,"F","CF14GPWW_141_24-F","WW",782,11.9,8.6,69.6,32.5,52.4,142,-117.079339,46.780191," |  | ","CookEast",2014
25,"F","CF14GPSWGrn_C5_143_25-F","SW",478,13.5,5.8,66.7,29.1,51.3,143,-117.0789031,46.78010382,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
26,"F","CF14GPSWGrn_C5_144_26-F","SW",488,8.1,7,75.5,16.9,56.5,144,-117.078503,46.780124,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
27,"F","CF14GPSWGrn_C6_145_27-F","SW",538,11.1,6.8,70.9,23.9,54.9,145,-117.078085,46.780129,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
28,"F","CF14GPSWGrn_C7_146_28-F","SW",207,14.6,6,63.1,34.4,NA,146,-117.077667,46.780066,"MOISTURE OUTSIDE LIMITS | SAMPLE TOO SMALL TO GIVE TEST WT | ORIGINAL SAMPLE BAG RIPPED","CookEast",2014
29,"F","CF14GPSWGrn_C7_147_29-F","SW",261,14.9,7.2,60.1,37.1,NA,147,-117.077249,46.78023," |  | SAMPLE TOO SMALL FOR TEST WEIGHT","CookEast",2014
30,"F","CF14GPSWGrn_C8_148_30-F","SW",816,10.9,7.3,72.4,27.8,61.6,148,-117.076831,46.780004," |  | ","CookEast",2014
6,"G","GPHY14_GB_A1_149_6-G","GB",538,NA,NA,NA,NA,NA,149,-117.087103,46.780422," |  | ","CookEast",2014
7,"G","GPHY14_GB_A2_150_7-G","GB",380,NA,NA,NA,NA,NA,150,-117.086685,46.780507," |  | ","CookEast",2014
8,"G","GPHY14_GB_A3_151_8-G","GB",328,NA,NA,NA,NA,NA,151,-117.08622506,46.78045544," |  | ","CookEast",2014
9,"G","GPHY14_GB_A4_152_9-G","GB",222,NA,NA,NA,NA,NA,152,-117.08583327,46.78037122,"MOUSE DAMAGE TO SAMPLE |  | ","CookEast",2014
10,"G","GPHY14_GB_A4_153_10-G","GB",212,NA,NA,NA,NA,NA,153,-117.085431,46.7805," |  | ","CookEast",2014
11,"G","CF14GPSWGrn_A5_154_11-G","SW",1038,11.4,6.7,70.2,25.5,55.2,154,-117.085013,46.780348,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
12,"G","CF14GPSWGrn_A6_155_12-G","SW",622,10.7,6.4,72.8,23.4,54.8,155,-117.084595,46.780437,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
13,"G","CF14GPWW_155_13-G","WW",892,9.8,9.7,69.3,25.4,43.2,156,-117.084177,46.78039," |  | ","CookEast",2014
14,"G","CF14GPWW_156_14-G","WW",865,10.1,8.3,71.3,25.9,50.5,157,-117.083759,46.780453," |  | ","CookEast",2014
15,"G","CF14GPWW_157_15-G","WW",848,10.4,9.2,70.9,26.6,45.6,158,-117.083341,46.780374," |  | ","CookEast",2014
16,"G","CF14GPWW_158_16-G","WW",945,11.7,8.1,67,31.1,41.5,159,-117.082923,46.780443," |  | ","CookEast",2014
17,"G","CF14GPWW_159_17-G","WW",1058,12.3,8.9,67.5,32.4,47.6,160,-117.082505,46.78048," |  | ","CookEast",2014
18,"G","CF14GPWW_160_18-G","WW",999,9.5,8.6,72.8,24.3,49.5,161,-117.082087,46.780282," |  | ","CookEast",2014
19,"G","CF14GPWW_161_19-G","WW",925,11.2,7.7,66.8,28.9,40.5,162,-117.08164513,46.78040873," |  | ","CookEast",2014
20,"G","CF14GPWW_162_20-G","WW",1027,10.5,7.5,75,27.8,51.5,163,-117.081251,46.780423,"Starch outside limits |  | ","CookEast",2014
21,"G","CF14GPSWGrn_C1_164_21-G","SW",523,13.8,7,63.5,32.5,53.2,164,-117.080833,46.780279,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
22,"G","CF14GPSWGrn_C1_165_22-G","SW",557,11.1,6.4,70.9,26.4,55.5,165,-117.080415,46.780542,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
23,"G","GPHY14_GB_C2_166_23-G","GB",178,NA,NA,NA,NA,NA,166,-117.079997,46.780513," |  | ","CookEast",2014
24,"G","GPHY14_SB_C3_167_24-G","SB",608,12.4,13.6,60.9,NA,47.6,167,-117.079579,46.780477," |  | ","CookEast",2014
25,"G","CF14GPWW_167_25-G","WW",697,10.9,8.2,72,29.7,54.9,168,-117.079161,46.780398," |  | ","CookEast",2014
26,"G","CF14GPWW_168_26-G","WW",875,12.3,7.7,69.9,33.3,53.9,169,-117.078743,46.78041," |  | ","CookEast",2014
27,"G","CF14GPSWGrn_C5_170_27-G","SW",241,12.4,6.4,67.4,28.8,NA,170,-117.078325,46.780415,"MOISTURE OUTSIDE LIMITS |  | SAMPLE TOO SMALL FOR TEST WEIGHT","CookEast",2014
29,"G","CF14GPSWGrn_C6_172_29-G","SW",433,11.8,6.9,68.9,26.1,54.3,172,-117.077489,46.780516,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
30,"G","CF14GPSWGrn_C7_173_30-G","SW",471,11.4,6.7,70.9,28.6,56.1,173,-117.077071,46.78029,"MOISTURE OUTSIDE LIMITS |  | ","CookEast",2014
31,"G","CF14GPSWGrn_C8_174_31-G","SW",828,10.5,6.5,75.1,25,61.4,174,-117.076653,46.780414,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ","CookEast",2014
6,"H","GPHY14_GB_A1_175_6-H","GB",410,NA,NA,NA,NA,NA,175,-117.086879,46.780708," |  | ","CookEast",2014
7,"H","GPHY14_GB_A1_176_7-H","GB",331,NA,NA,NA,NA,NA,176,-117.08647678,46.78080097," |  | ","CookEast",2014
